,host_id,room_type,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude
253,125353625,Entire home/apt,12,5,8,3,74,53.339968,-6.233195
254,74992604,Entire home/apt,7,5,2,0,78,53.332818,-6.269495
255,16158874,Entire home/apt,10,4,5,0,59,53.336642,-6.381108
256,22185294,Entire home/apt,52,4.5,2,1,60,53.316905,-6.263465
257,136871137,Entire home/apt,0,0,8,4,12,53.339563,-6.244084
258,6355185,Entire home/apt,0,0,16,8,1980,53.311734,-6.304277
259,22801049,Entire home/apt,0,0,12,3,1079,53.343306,-6.265321
260,13727160,Entire home/apt,0,0,4,2,1079,53.341189,-6.235844
261,113051037,Entire home/apt,0,0,4,2,1079,53.33783,-6.272531
262,1577086,Entire home/apt,0,0,7,3,1140,53.345264,-6.233767
263,77166525,Entire home/apt,0,0,4,2,1199,53.326054,-6.226347
264,80986443,Entire home/apt,0,0,10,4,1170,53.326587,-6.220062
265,58031869,Entire home/apt,0,0,4,2,1200,53.346425,-6.258276
266,56310898,Entire home/apt,1,0,5,2,1200,53.308531,-6.203898
267,54677135,Entire home/apt,44,4.5,2,1,1079,53.346737,-6.274772
268,16485613,Entire home/apt,28,5,4,1,1200,53.329388,-6.241524
269,22651658,Entire home/apt,7,5,10,5,1440,53.273233,-6.095601
270,14786471,Entire home/apt,16,5,9,5,1146,53.307185,-6.274576
271,38096025,Entire home/apt,47,4.5,4,2,1200,53.344352,-6.278023
272,33135828,Entire home/apt,17,5,9,4,1140,53.329886,-6.217987
273,19914693,Entire home/apt,0,0,6,2,780,53.33522,-6.246428
274,106590865,Entire home/apt,0,0,8,4,1020,53.315895,-6.207072
275,125150723,Entire home/apt,4,5,16,4,780,53.351664,-6.255625
276,56762439,Entire home/apt,0,0,7,4,839,53.324517,-6.255735
277,28246695,Entire home/apt,0,0,10,5,839,53.319744,-6.267842
278,18872800,Entire home/apt,0,0,6,3,839,53.331691,-6.252485
279,1993026,Entire home/apt,5,4.5,10,5,876,53.229751,-6.111647
280,49569652,Entire home/apt,0,0,8,3,900,53.335066,-6.222836
281,234243,Entire home/apt,0,0,12,6,1020,53.329307,-6.246623
282,125150723,Entire home/apt,0,0,15,6,900,53.335393,-6.255075
283,34908168,Entire home/apt,0,0,16,7,1020,53.346731,-6.270634
284,2856748,Entire home/apt,2,0,6,3,599,53.332759,-6.246975
285,59959560,Entire home/apt,0,0,5,2,516,53.3477,-6.260987
286,6355185,Entire home/apt,0,0,9,4,588,53.335085,-6.265287
287,46687074,Entire home/apt,0,0,8,4,540,53.334592,-6.232467
288,20358040,Entire home/apt,0,0,6,3,540,53.34582,-6.256228
289,28543388,Entire home/apt,0,0,4,2,540,53.343632,-6.272637
290,43994743,Entire home/apt,0,0,4,2,599,53.327781,-6.210789
291,379184,Entire home/apt,1,0,5,2,696,53.348786,-6.239716
292,2856748,Entire home/apt,0,0,8,3,660,53.350527,-6.239019
293,120409651,Entire home/apt,0,0,8,3,720,53.297362,-6.172509
294,70819818,Entire home/apt,7,4.5,10,3,599,53.344879,-6.237527
295,18163435,Entire home/apt,0,0,6,2,618,53.341703,-6.2361
296,8063582,Entire home/apt,59,5,6,3,540,53.332468,-6.26674
297,45830736,Entire home/apt,12,5,6,3,540,53.344751,-6.237608
298,95925330,Entire home/apt,8,4.5,8,4,720,53.368243,-6.064506
299,109686366,Entire home/apt,0,0,7,4,599,53.277764,-6.123547
300,40098864,Entire home/apt,0,0,10,4,720,53.308344,-6.265939
301,9257184,Entire home/apt,1,0,6,3,720,53.351223,-6.247765
302,116568087,Entire home/apt,0,0,4,2,540,53.344351,-6.23114
303,23870012,Entire home/apt,0,0,7,3,599,53.316366,-6.242891
304,99772547,Entire home/apt,0,0,6,3,624,53.34899,-6.231685
305,46648367,Entire home/apt,0,0,4,2,599,53.327054,-6.233415
306,28167126,Entire home/apt,0,0,5,2,599,53.341196,-6.234629
307,94858254,Entire home/apt,0,0,10,0,599,53.346931,-6.268286
308,43683461,Entire home/apt,1,0,6,3,714,53.338641,-6.237187
309,60192550,Entire home/apt,2,0,8,3,533,53.340074,-6.267847
310,15089382,Entire home/apt,1,0,15,6,526,53.360213,-6.242759
311,8527562,Entire home/apt,0,0,3,1,599,53.345254,-6.237789
312,69558245,Entire home/apt,0,0,8,5,720,53.382461,-6.064687
313,73684688,Entire home/apt,0,0,4,2,720,53.350377,-6.249486
314,205113,Entire home/apt,2,0,8,4,714,53.322306,-6.216358
315,136871137,Entire home/apt,0,0,8,4,720,53.338577,-6.242597
316,31334640,Entire home/apt,50,5,8,3,720,53.343369,-6.268827
317,3115636,Entire home/apt,0,0,4,2,588,53.332171,-6.261062
318,81508535,Entire home/apt,2,0,8,5,540,53.330554,-6.273152
319,14499397,Entire home/apt,0,0,5,2,636,53.343009,-6.236709
320,43994743,Entire home/apt,0,0,2,2,599,53.327712,-6.21274
321,19054004,Entire home/apt,3,5,4,2,594,53.345367,-6.235517
322,37873734,Entire home/apt,0,0,4,2,599,53.315732,-6.272685
323,47782164,Entire home/apt,0,0,4,2,599,53.333615,-6.238469
324,37558983,Entire home/apt,6,5,6,3,594,53.322309,-6.257186
325,33414798,Entire home/apt,5,5,10,3,720,53.342583,-6.2409
326,118236234,Entire home/apt,1,0,6,3,720,53.309044,-6.200184
327,2163000,Entire home/apt,34,4.5,14,6,540,53.344931,-6.247592
328,64045593,Entire home/apt,1,0,6,3,660,53.334749,-6.221273
329,2856748,Entire home/apt,0,0,4,2,540,53.344889,-6.234307
330,33991429,Entire home/apt,0,0,4,2,588,53.330803,-6.233083
331,15857689,Entire home/apt,1,0,6,3,599,53.329819,-6.260448
332,65182370,Entire home/apt,14,5,14,7,599,53.365524,-6.257432
333,29917562,Entire home/apt,1,0,6,4,660,53.317555,-6.255461
334,5737406,Entire home/apt,2,0,8,3,660,53.332616,-6.23916
335,40161857,Entire home/apt,4,5,7,4,660,53.336257,-6.235109
336,29374510,Entire home/apt,76,5,13,5,540,53.36613,-6.256704
337,58738966,Entire home/apt,5,5,6,3,720,53.328912,-6.25494
338,52096313,Entire home/apt,0,0,9,3,540,53.354035,-6.349419
339,6355185,Entire home/apt,7,4,12,5,660,53.313308,-6.303757
340,9803856,Entire home/apt,0,0,4,2,540,53.358122,-6.237911
341,57408125,Entire home/apt,5,5,6,3,660,53.325828,-6.215325
342,45524866,Entire home/apt,69,5,6,2,540,53.345448,-6.260057
343,21494856,Entire home/apt,0,0,6,3,599,53.291345,-6.308165
344,11436695,Entire home/apt,0,0,4,2,588,53.341739,-6.235967
345,66443788,Entire home/apt,43,4.5,10,3,599,53.341614,-6.239441
346,17259900,Entire home/apt,79,4.5,8,4,540,53.331988,-6.227409
